Place,Rating,latitude,longitude
Ahmedabad,4.5,23.022505,72.5713621
10 Acres Mall,3.2,40.663695,-73.72405
Kalna,4.2,23.2248593,88.3482188
108 Shiv Mandir,3.902439024,23.7187554,90.4048794
108 Vinayagar Temple,5,11.9371029,79.8340071
"Dindigul",4.1,10.3673123,77.9802906
11D Cinema,4.5,-0.3408299,31.7389749
"Lucknow",4.3,26.85,80.949997
Agra Art Gallery,4.6,27.16267,78.01323
Agra,4.1,27.17667,78.008072
Taj Mahal,4.7,27.173891,78.042068
Anantagiri Hills,4.5781,17.39566,78.39178
Birla Mandir,4.6784,17.406164,78.469048
Hyderabad,4.1235,17.385044,78.491684
1857 Memorial Museum,3.347826087,41.9473599,-72.6909535
Aamby Valley City,4,18.62624504,73.40511778
19 Degree North,4.588235294,-34.7489111,138.6311961
1905 Prince's TriumphalArch Clock Tower,3.666666667,38.83111,-77.30722
3Cs Mall,4,31.5451798,74.3495004
500 Years Old Shiva Temple,5,36.16443,-112.161
7 Wonders,4.429292929,41.3667084,69.3057815
72 Mad Street,4.666666667,30.0371928,31.364099
7th Mile View Point,4.384615385,39.15983,-76.53302
80 Mile Round,4.375,-24.3817685,151.840471
925 Silver,4.272727273,42.4959268,27.4716441
A Prakash and Co,4.5,4,-73.25
AAN Adventure,5,50.8587027,5.8315155
AB Original Tours,4.717948718,30.9077289,77.1155347
AMU Jama Masjid,4.142857143,27.907386,78.0718484
AP State Museum,4.310344828,41.1003496,-72.3623387
ASI Museum,3.48,18.2161369,42.49934
AUGUSTIN Studio & Gallery,5,50.784459,7.1965069
Aahilya Dam,4.8,33.5102,36.29128
Aakriti Nature Cure Centre,4.714285714,4.75,11.83333
Aalloa Hills Resort & Golf Course,4.696969697,23.3353029,72.7169896
Aam Khas Bagh,3.875,30.6366505,76.397306
Aap Shambhu Temple,3.666666667,32.7773687,74.8430535
AapnoGhar Amusement and Water Park,4.295774648,27.80058,-97.66388
Aarey Bhaskar Garden,4.714285714,45.7747,-86.5507
Aarey Colony,3.88,19.1503904,72.8742678
Aarupadai Veedu Temple,4.204545455,31.09823,-97.34278
Aath Haveli,4.1,30.45016,73.69888
Aathupalayam Dam,3.5,33.5102,36.29128
Aayiram Kaal Mandapam,4.125541126,9.27571,79.12362
Abbey Falls,4.065665386,29.5578444,-98.6256171
Abbimatta Falls,4.666666667,31.25327,-96.93585
Abbott Mount,3.923076923,35.404143,-80.443703
Abhaya Anjaneya Temple,3.714285714,17.4085011,78.5100507
Abhimugesvarar Temple,4.111111111,31.09823,-97.34278
Abirami Amman Temple,4.285714286,10.3624689,77.9710825
Abirami Mega Mall,3.93877551,13.0863814,80.2481146
Abraham's Spice Garden,4.451871658,9.6039936,77.1416276
Academy of Fine Arts,4.133333333,48.2014226,16.3656335
Academy of Fine Arts & Literature,3.5,48.2014226,16.3656335
Accoland,4.607142857,26.0797096,91.611109
Achal Garh Temple,4.189189189,31.09823,-97.34278
Achaleshwar Temple,4,31.09823,-97.34278
Achalgarh Fort,3.849315068,24.6310051,72.7628803
Achanakmar Wildlife Sanctuary,4.176470588,32.90874,-97.58419
Achankovil Sree Dharmasastha Temple,4,31.09823,-97.34278
Achanta Rameswara Swamy Temple,4.75,31.09823,-97.34278
Achara Beach,4.375,46.91807,-104.00437
Acharya Bhavan,4,18.3480145,74.0275685
Acharya Jagadish Chandra Bose Indian Botanic Garden,4.21,22.5582018,88.2892325
Achyutaraya Temple,3.948717949,15.3318779,76.4701059
Acorn Arcade,4.5,42.53395,-78.42307
Acropolis Mall,4.304964539,22.5151003,88.3932228
Active Arena,4.5,12.9433162,77.7000439
Adalaj Trimandir,4.577540107,23.1784824,72.5721279
Adasa Ganpati Temple,4.414285714,31.09823,-97.34278
Adayapeath Temple,3,31.09823,-97.34278
Adayar Broken Bridge,2,52.39056,-8.94306
Adda52 LIVE,4.333333333,45.5989881,9.5169532
Adeeswar Temple,4.5,31.09823,-97.34278
Adhar Devi Temple,4.208333333,31.09823,-97.34278
Adhar Shila Temple,4,31.09823,-97.34278
Adhi Kamakshi Amman Temple,3.111111111,31.09823,-97.34278
Adhishakthyathmaka Sri Annapoorneshwari Temple,4.525641026,31.09823,-97.34278
Adi Badri Temple,4,30.1561463,79.2265984
Adi Brahmo Samaj Prayer Hall,4,49.11127,9.73908
Adi Kadi Vav,4.090909091,21.5266352,70.4713958
Adi Kailash,3.5,30.3193775,80.6327016
Adi Keshava Perumal Temple,3.76744186,31.09823,-97.34278
Adi Kumbeswarar Temple,4.015075377,31.09823,-97.34278
Adi Shancharachaya Temple,4.217391304,31.09823,-97.34278
Adichikkavu Sree Durga Devi Kshetram Temple,4,31.09823,-97.34278
Adikeshava Perumal Temple,4.5,31.09823,-97.34278
Adimalathura Beach,4.166666667,8.3508273,77.0222469
Adina Mosque,3.911764706,25.152617,88.1643667
Adinath Mandir Jain Temple,4.416666667,31.09823,-97.34278
Adinath Temple,4.105263158,21.5284247,91.9749897
Adipureeswarar Temple,2,31.09823,-97.34278
Aditya Temple,4,17.5086332,78.3993365
Adityapuram Surya Temple,5,31.09823,-97.34278
AdiyaetumParaipanri Madaswamy Koil Temple,4,31.09823,-97.34278
Adonai Shalom Church,4.5,53.75177,-2.39121
Adoni Fort,4.2,44.56784,7.41295
Adumalleshwara Temple,3.769230769,31.09823,-97.34278
"Advaita Ashrama,",4.285714286,29.374094,80.061124
Adventure Island,4.691304348,45.1586571,-87.2656866
Advika Beach,4.5,46.91807,-104.00437
Adyar Library & Research Centre,5,12.9978263,80.2484612
Adyar Poonga River Restoration Park,4.6,39.11251,-100.35875
AeroCity Central,4.4,-13.5,34
Afghan Church,3.679245283,18.9056899,72.8159795
Agape Fellowship Church,4,35.064149,-89.911153
Agara Lake,3.860465116,12.9203228,77.6419849
Agasti Mandir Temple,4.5,31.09823,-97.34278
Agastya Lake,4.16,15.9199672,75.6866166
Agastyamuni Temple,2,31.09823,-97.34278
Aggarwal Mall,3.4,30.2467664,74.9342608
Aghanjar Mahadev Temple,4.4625,31.09823,-97.34278
Agonda Beach,4.630635524,15.0415524,73.9871623
Agora Mall,4.154639175,23.1185867,72.6246127
Agori Fort,4.5,24.5468096,82.9626739
Agra Fort,4.299533256,27.1798258,78.0208223
Agra Fort Railway Station,3,27.1828667,78.0185074
Agricultural College and Research Institute,4.272727273,8.7062375,77.8562637
Agroha Dham,4.434782609,29.3322159,75.625477
Agumbe Ghat,4.25,24.96472,10.17278
Agumbe Rainforest Research Station,3.78125,13.5181172,75.0886902
Agumbe Sunset View Point,4.19047619,39.15983,-76.53302
Ahal Dara View Point,4,39.15983,-76.53302
Ahilyeshwar Temple,4.488888889,31.09823,-97.34278
Ahinsa Sthal,4.421052632,28.5205656,77.1903179
Ahluwalia's The Great Mall of Kota,4.166666667,25.18254,75.83907
Ahmedabad One Mall,4.46,23.0393489,72.5319564
Ahmednagar Fort,3.571428571,19.0953757,74.7554921
Ahmedpur Mandvi Beach,4.666666667,46.91807,-104.00437
Ahobilam Temple,3.905263158,15.1135705,78.6732501
Aikatan,3.666666667,22.573183,88.4122396
Ainavilli Sidhi Vinayaka Temple,4.3,31.09823,-97.34278
Airavatesvara Temple,4.264957265,31.09823,-97.34278
Aishbagh Stadium,4.1,23.2559196,77.4201358
Aiyyanpara,4.5,9.7274036,76.7923805
Ajabgarh Fort,3.448275862,44.56784,7.41295
Ajaigarh Fort,4.222222222,24.888001,80.2696004
Ajanta Caves,4.109738013,20.5524497,75.6995312
Ajanta Tea Centre,4.5,4.75,11.83333
Ajapala Nigrodha Tree,4,24.696057,84.9919778
Ajgaibinath Temple,4.222222222,31.09823,-97.34278
Ajit Nath Temple,4.6,31.09823,-97.34278
Ajmal Khan Road,4.5,28.6484678,77.1908256
Ajmera Bhagto Park,4.5,39.11251,-100.35875
Ajmeri Gate,3.71875,28.6462785,77.2240315
Akal Takht,4.167539267,31.6207507,74.8754195
Akal Wood Fossil Park,3.756756757,44.90902,-120.13585
Akalya Cabs Karur,5,10.95771,78.08095
Akbari Masjid,4.142857143,24.8951266,67.0219233
Akdhardham Temple,4.333333333,31.09823,-97.34278
Akhnoor Fort,4.230769231,32.8965732,74.7407838
Akkanabasadi Temple,4.75,31.09823,-97.34278
Aksa Beach,4.383763838,19.1853321,72.7963489
Akshardham Temple,4.477432297,21.754098,72.1417788
Akshi Beach,4.157894737,18.6246011,72.8856584
Akshyalingaswamy Temple,4,31.09823,-97.34278
Akurli Mata Temple,5,31.09823,-97.34278
Alai Darwaza,4,28.5242153,77.1856406
Alai Minar,3.295774648,28.5258232,77.1853792
Alakhnath Temple,4.058823529,31.09823,-97.34278
Alamparai Fort,3.833333333,12.2659932,80.0101388
Alankar Jewellery,4,24.6895753,83.0666564
Alappuzha Beach,4.302650957,9.4634935,76.3243911
Alappuzha Lighthouse,4.13671875,9.4939017,76.3210141
Alathiyoor Hanuman Temple,3.916666667,31.09823,-97.34278
Albert Hall Museum,4.21221374,-37.4240934,143.8949444
Alexander Point,4.381818182,55.7883333,-159.4163889
Alfred Park,4.214285714,43.4741848,-70.7100953
Ali Babas Cave,4.5,41.81682,12.94055
Alibag Beach,3.964757709,18.5938279,72.9029423
"Alibag Beach, Alibag",4.2,18.64813,72.87579
Aligarh Fort,4.052631579,27.9298953,78.0637324
Aliyar Dam,4.291666667,10.4826642,76.9659019
Aliyar Dam Reservoir Park,4.048192771,39.94477,-91.37848
Alka Puri,3,23.3358786,85.3017233
All Saints Cathedral,4.202380952,25.4512157,81.8265799
All Saints Church,4.285714286,53.3435283,-2.7364827
All Saints' Cathedral,3.857142857,25.4512157,81.8265799
Allahabad Fort,3.7,25.4317474,81.8751163
Allahabad High Court,3.897959184,25.4533136,81.8207936
Allahabad Museum,4.014705882,25.4567938,81.8491507
Allahabad University,3.981481481,25.4601897,81.8523782
Allalanatha Temple,4.5,31.09823,-97.34278
Allen Park,3,42.2595071,-83.2107671
Ashrafi Mahal,3.302325581,22.3483592,75.3989418
Ashta Lakshmi Temple,4.105263158,17.8213692,83.347038
Ashtabhuja Temple,4.333333333,19.9516537,79.3189424
Ashtabhuji Devi Temple,3.933333333,31.09823,-97.34278
Ashtalakshmi Temple,4.153583618,12.99253,80.2704204
Ashtamukhi Pashupatinath Temple,4.282051282,31.09823,-97.34278
Ashtavinayak Temple,4.5,18.535215,73.2238557
Ashutosh Museum of Indian Art,3.833333333,43.97478,-75.91076
Ashwem Beach,4.586744639,15.6418137,73.7191171
Asiatic Society,4.066666667,18.9318255,72.8361375
Asigarh Fort,4,29.1057733,75.9631412
Asirgarh Fort,3.8,21.4706493,76.2938574
Askot Wildlife Sanctuary,3,32.90874,-97.58419
Asman Garh Palace,4.5,17.3680742,78.5156883
Asmangadh Fort,3.75,44.56784,7.41295
Asola Bhatti Wildlife Sanctuary,3.352941176,32.90874,-97.58419
Aspinwall House,3.916666667,9.9686106,76.2465465
Assam State Zoo,3.971530249,26.1636522,91.7827055
Assam State Zoo and Botanical Garden,4.166666667,48.84365,2.35833
Astha Kunj Park,4,39.11251,-100.35875
Asthalakshmi Temple,4.388888889,31.09823,-97.34278
Astrologer House,4.5,34.64673,-103.90441
Astronomical Observatory,3.972222222,32.318861,-93.625243
Astrophysical Observatory,3.762711864,40.6042848,-74.152855
Asuankundu Dam,5,33.5102,36.29128
Asvathama Rock,5,42.67122,-89.07158
Aswali Dam,4.086956522,33.5102,36.29128
Ater Fort,4.333333333,34.4449081,7.4923718
Athangudi Palace Tiles,4.227272727,46.711,11.63163
Athirapalli Water Falls,4.363636364,31.25327,-96.93585
Athirappilly Falls,4.369734789,10.2847989,76.5691181
Athisayam Water Amusement Park,3.904761905,33.33944,44.44627
Atibaleshwar Temple,3.625,31.09823,-97.34278
Atmeshwar Temple,3.916666667,31.09823,-97.34278
Atomic Energy Junior College,4.428571429,19.0371504,72.9187806
Atreya Vedic and Spice Plantation,4.666666667,26.13421,-80.23184
Atria Mall,3.553191489,-6.1906112,106.739785
Attahas Temple,3,31.09823,-97.34278
Attappadi Hills,4.636363636,41.55419,-91.53489
Attiveri Bird Sanctuary,4.5,15.8682022,74.4950715
Attraction,5,20.5462711,-105.2870408
Auli,4.357142857,60.0392514,11.3520012
Auli Ski & Snowboard School,4.526315789,30.5487026,79.5737933
Aundha Nagnath Temple,3.647058824,19.5269208,77.0481295
Aura Mall,4.083333333,-6.8140794,39.2776589
Aurangabad Caves,4.034920635,19.9216445,75.3184471
Aurangzeb's Mosque,4.285714286,28.546339,77.3068572
Baleshwar Temple,4.5,21.5076452,86.9055834
Balh Valley,4,32.81874,-85.17939
Balidaan Stambh - War Memorial,3.75,42.37009,-72.51759
Balkampet Yellamma Temple,4.166666667,17.4475911,78.4490768
Balkeshwar Mandir,4,27.2058079,78.0252972
Balkrishna Maharaja Temple,4,31.09823,-97.34278
Ballalarayana Durga Fort,3.941176471,44.56784,7.41295
Ballard Estate,3.944444444,18.9355363,72.8404351
Bally Bridge,3.714285714,22.6549458,88.3476068
Balmaadi Estate,4.333333333,17.38298,-100.87314
Balmuri Falls,4.111111111,31.25327,-96.93585
Balsamand Lake and Garden,4.453271028,45.7747,-86.5507
Balunkeswar Mahesh Temple,5,31.09823,-97.34278
Balvatika,4.282608696,28.5976921,81.6188779
Bamanbudo Waterfall,4.117647059,15.058223,74.157898
Bamboo Garden,4.523809524,3.1945379,101.6762975
Bamni Dadar,4.310344828,9.31168,41.44301
Banana Surf School,4.666666667,15.6380025,73.7206261
Banaras Cottage Emporium,4.333333333,41.51145,-78.23529
Banashankari Temple,4.229508197,15.8871414,75.7046503
Banasur ka Kila,3.5,48.12023,-114.4568
Banasura Hill,4.26566416,43.52424,-71.70091
Bandaje Arbi Falls,3.8,13.1057041,75.4151006
Bandamaisamma Temple,3.75,31.09823,-97.34278
Bandar,4.333333333,16.1817369,81.1348181
Bandel,4.204081633,22.9226381,88.3877415
Bandhavgarh Ancient Caves,3.709677419,42.93117,2.97699
Bandhavgarh Hill,4.197969543,43.52424,-71.70091
Bandhavgarh National Park,4.072961373,23.6326197,80.8331949
Bandipur National Park and Tiger Reserve,3.943627451,30.05381,-90.55175
Bandra Fort,4.292553191,19.0420614,72.818608
Bandra Talao,3.647058824,19.056744,72.8377699
Bandra-Worli Sea Link,4.310043668,19.0136539,72.8134202
Bandstand Promenade,4.380530973,19.0523878,72.8217267
Baneshwar temple,3,20.3936528,85.1446573
Baneswar Shiva Temple,3.882352941,36.16443,-112.161
Bangaaru Maisamma Temple,4.25,31.09823,-97.34278
Bangalore Aquarium,3.849315068,12.9765231,77.5985456
Bangalore Central Mall,3.617021277,12.9165317,77.5923697
Bangalore Fort,4.333333333,12.9629408,77.5757599
Bangalore International Exhibition Centre,3.666666667,13.0607572,77.4743646
Bangalore Palace,4.072640869,12.9985963,77.5920095
Bangalore Revival Center,4.666666667,7.25,2.16667
Bangalore Turf Club Race Course,4.243243243,17.84019,-77.28223
Bangalpukhari Tank,4,32.22168,70.37928
Banganga,3.876190476,27.683459,83.1534109
Bangaram Island,4.287128713,10.9404119,72.287159
Bangaru Tirupati,4.285714286,13.63551,79.41989
Bango Dam,4.818181818,4.3699919,18.5780659
Banibal Nag,4.2,21.14631,79.08491
Banjhakri Water Falls,4.386831276,31.25327,-96.93585
Bankapura Peacock Sanctuary,4,32.90874,-97.58419
Banke Bihari Temple,4.5,27.9696821,77.491568
Bankebihari Temple,4.19047619,31.09823,-97.34278
Bannari Amman Temple,3.933333333,31.09823,-97.34278
Bannerghatta Biological Park,4.038834951,39.11251,-100.35875
Bannerghatta National Park,4.208160443,12.80083,77.57556
Banni Mata Temple,5,32.1952476,76.3640496
Banpukuria Deer Park,4,29.70523,-95.12382
Bans Water Park,4.8,27.80058,-97.66388
Bansi Gopal Temple,4.142857143,31.09823,-97.34278
Baps Shri Swaminarayan Mandir,4.755555556,29.6070559,-95.5790908
"Baps Shri Swaminarayan Mandir, Kolkata",4.72,22.4145089,88.2839351
Baptist Mission Church,4,25.6770733,94.1120652
Bara Bazaar,4.136363636,25.5779634,91.8767551
Bara Imambara,4.242142857,26.8688226,80.912806
Bara Pathar Temple,4.185185185,31.09823,-97.34278
Barabar Caves,3.684210526,25.0055762,85.0633024
Barabar Hills,4,41.55419,-91.53489
Barabati Fort,3.454545455,20.4858221,85.864648
Barabati Stadium,4.272727273,20.4807043,85.8685254
Barachukki and Gaganachukki Falls,4.229591837,31.25327,-96.93585
Barah kaman,3.569767442,27.65791,77.26908
Barahi Temple,4,27.6668467,85.4239357
Baralacha Pass,4,32.7585746,77.420193
Baramura Eco Park,5,23.8176638,91.5805572
Barasat Stadium,4.4,22.7174323,88.4786875
Barbotey Rock Garden,4.43083004,33.48205,-85.81469
Barda Hills Wildlife Sanctuary,3.4,32.90874,-97.58419
Bardar Sanctuary,3,32.90874,-97.58419
Barddhaman Maharaja Palace,3.222222222,22.5239336,88.32581
Bardhaman Science Centre,5,23.2504765,87.8494104
Bargabheema Temple,3.6,31.09823,-97.34278
Bargi Dam,4.355704698,22.9385969,79.9214226
Barkana Falls,3.666666667,31.25327,-96.93585
Barmer Fort,4,44.56784,7.41295
Barot Dam,4.068965517,33.5102,36.29128
Barot Valley,4.566037736,32.81874,-85.17939
Barsana Shri Radha Rani Temple,4.26984127,31.09823,-97.34278
Barsi Gate,3.75,36.85336,-100.05541
Barton Library,3.583333333,51.9673146,-0.4269248
Barua Sagar,4.176470588,25.375541,78.7323625
Barua Sagar Fort,3.923076923,44.56784,7.41295
Basant Art Emporium,4.133333333,41.51145,-78.23529
Basar Saraswati Temple,4.08045977,31.09823,-97.34278
Basaralu Temple,4.5,12.7102405,76.8170717
Basavanagudi,4.173160173,13.8345913,75.7339359
Basavanagudi Aquatic Centre,3.75,4.75,11.83333
Basel Mission Church,4.333333333,13.6343509,74.6906749
Basheshwar Mahadev Temple,4.571428571,31.09823,-97.34278
Basilica of Bom Jesus,4.201053135,15.5006782,73.9110525
Basilica of Our Lady of Graces,4.444444444,48.55651,-3.18533
Basistha Ashram Temple,4.234234234,31.09823,-97.34278
Bassi Wildlife Sanctuary,3.833333333,32.90874,-97.58419
Bastar Palace,4.095238095,19.0873784,82.0267233
Basukinath Temple,3.927536232,26.4738255,87.2786989
Batadrava Than,4.333333333,22.57422,71.19942
Batapady Beach,4.333333333,46.91807,-104.00437
Batasia Loop,4.104339797,27.0167011,88.2471186
Bathinda Fort,3.741935484,30.2077753,74.9372669
Bathinda Lake,4.507462687,30.2352583,74.9318569
Bawan Jinalaya Jain Temple,5,31.09823,-97.34278
Bawana Industrial Area,3.666666667,28.7899827,77.05343
Bawangaja,4.25,21.98333,74.85
Bawey Wali Mata Temple,4.243243243,31.09823,-97.34278
Bawkhaleshwar temple,4.483516484,31.09823,-97.34278
Bay Pride Mall,3.722222222,9.9774689,76.2766776
Bay of Life Surf & SUP,4.662650602,-37.8675661,144.8889356
Baywatch Amusement Park,4.342857143,33.33944,44.44627
Bear Shola Falls,3.718232044,10.2396171,77.4786407
Beas Kund,4.226666667,32.3665396,77.0855604
Beas River,4.370146678,31.8057218,77.1890088
Bedi Port,4.428571429,22.5073886,70.0321001
Bedsa Caves,4,42.93117,2.97699
Beechanahalli Dam,4.428571429,33.5102,36.29128
Beejamandal Temple,2.928571429,24.8293489,79.9344894
Beeji's Park,4.2,32.5361446,75.9825393
Begum Hazrat Mahal Park,4.090909091,39.11251,-100.35875
Begum Mahal,4.4,23.7161632,90.4015925
Begumpet Mosque,3.909090909,17.438999,78.4685809
Begur Fort,3.833333333,12.8708766,77.6227291
Begur Wildlife Sanctuary,4.111111111,32.90874,-97.58419
Behta Hazipur Railway Station,4,47.27103,8.8218
Bekal Beach,4.484536082,12.3861715,75.04196
Bekal Fort,4.358885017,12.3922237,75.0327651
Bekar Bandh,4.666666667,23.8005438,86.4287608
Bela Church,3.454545455,41.0781187,-79.5347682
Belapur Fort,3.851851852,19.0051696,73.0282853
Belapur Mango Garden,4.382352941,45.7747,-86.5507
Belavadi,4.21875,13.28207,75.995669
Belekan beach,5,14.5206356,74.3444045
Belgaum Fort,3.964285714,15.8581696,74.5255651
Belha Temple,4.5,31.09823,-97.34278
Bellandur Lake,3.138888889,12.9357724,77.666761
Bellary Fort,4.322580645,15.1486711,76.9104097
Bellary Zoo,4.2,15.1446995,76.9037958
Belle Mall,4.5,44.6507103,-103.8610795
Belum Caves,4.035573123,15.102175,78.1116692
Belur Golf Course,4.636363636,-1.30498,36.80058
Belur Math,4.386308068,22.6323298,88.3564507
Belvedere House,4.5,51.5400494,-0.1857889
Belvedere Point,4.060606061,17.8721408,-76.4369595
Benaulim Beach,4.534759358,15.2529693,73.9202157
Bengal Natural History Museum,3.840909091,32.732,-117.14753
Bengaluru City Railway Station,3.885714286,12.9775068,77.5707681
Beni Sagar Dam,3.636363636,33.5102,36.29128
Benimadhav Temple,3.818181818,31.09823,-97.34278
Benog Wildlife Sanctuary,4.538461538,32.90874,-97.58419
Benu Ban Bihari Temple,4.5,31.09823,-97.34278
Benz Celebrity Wax Museum,4.35483871,40.4244,-3.69139
Berijam Lake,4.152145644,10.187019,77.3941148
Besant Nagar Beach,4.412988651,12.9986409,80.2707296
Bet Dwarka,3.655462185,22.23944,68.96778
Betalbatim Beach,4.584745763,15.2931923,73.9077452
Beth El Synagogue,4,33.5957582,-7.6268321
Bethesda International Prayer Centre,4.538461538,4.75,11.83333
Betla Fort,3.428571429,44.56784,7.41295
Betul Beach,4.216216216,15.0415524,73.9871623
Beypore Beach,4.296137339,11.1826629,75.7972068
Beypore Lighthouse,4.2,11.1581809,75.8057952
Beyt Dwarka Beach,3.847457627,46.91807,-104.00437
Bhadbhada Dam,4.258064516,33.5102,36.29128
Bhadra Fort,3.90625,23.0238245,72.5812092
Bhadra Fort & Teen Darwaja,3.739884393,23.0238245,72.5812092
Bhadra Maruti,3.922222222,20.0098134,75.1956726
Bhadra Wildlife Sanctuary,3.929824561,32.90874,-97.58419
Bhadrakali Temple,4.042553191,17.9948572,79.5828724
Bhadrawati Jain Temple,4.2,31.09823,-97.34278
Bhadwarmata Temple,3.6,31.09823,-97.34278
Bhagabati Temple,4.2,19.7826439,85.1664729
Bhagavan Sri Ram Mandir,3.5,26.72889,85.92851
Bhagavatha Padithurai Ghat,3.25,24.96472,10.17278
Bhagavathy Amman Temple,4.02173913,31.09823,-97.34278
Bhagirathi Park,5,19.0744333,72.8303675
Bhagshunath Temple,4.035714286,31.09823,-97.34278
Bhagsu Naag Temple,3.820512821,32.244276,76.3345604
Bhagsu Waterfall,4.20887338,32.2474746,76.3383494
Bhagsunath Temple,4.091176471,31.09823,-97.34278
Bhagwant Temple,4.2,31.09823,-97.34278
Bhagwat Vidyapith,4.590909091,23.0892382,72.5222394
Bhagwati Mandir,4.125,30.8745085,75.8587526
Bhagwati Temple,4.2,26.4533752,87.2852578
Bhainsrodgarh Wildlife Sanctuary,3.857142857,32.90874,-97.58419
Bhairamgarh Sanctuary,3,32.90874,-97.58419
Bhairav Nath Temple,4.142857143,30.7698288,79.4913032
Bhairava Temple,4.571428571,9.7749957,76.3410832
Bhairavakona,4.333333333,15.0884511,79.2022642
Bhairavnath Temple,4.615384615,16.6603965,74.2286317
Bhairi Caves,3.333333333,42.93117,2.97699
Bhairm Baba Temple,2,31.09823,-97.34278
Bhairo Baba Temple,3.526315789,31.09823,-97.34278
Bhaironath Temple,3.461538462,31.09823,-97.34278
Bhaja Caves,4.198380567,18.7289136,73.4813091
Bhaji Caves,3.9,42.93117,2.97699
Bhakra Dam,4,31.4115924,76.4326399
Bhaktavatsala Perumal Temple,4,13.1125898,80.0262894
Bhakti Dham Mandir,4.5,25.7702022,81.4935431